osm_id,ncc_owned,osm_way_id,house_area,house_peri,house_vert,private,house_lati,NATIONALCA,land_area,land_perim,land_verti,land_longi,land_latit,COUNT,house_long,b2lpercent,building_age
61738917,1,61738917,46,27,6,yes,6972378.601000001,29306674.0,116.0,54.0,14.0,-128564.1177,6972382.8975,2,-128570.46,40.0,
61738922,1,61738922,48,29,7,yes,6972363.387,29303710.0,112.0,49.0,9.0,-128607.4897,6972366.3913,2,-128605.04,43.0,
61738931,1,61738931,48,28,6,yes,6972288.8216,29306553.0,147.0,59.0,15.0,-128565.3008,6972291.894,2,-128569.27,33.0,
61738934,0,61738934,53,31,8,no,6971389.955,29403117.0,127.0,50.0,12.0,-127334.2561,6971393.4856,2,-127334.47,42.0,modern
61738936,0,61738936,83,39,4,no,6971302.7781,29399689.0,282.0,78.0,25.0,-127391.711,6971308.9925,2,-127392.91,29.0,modern
61738939,0,61738939,64,34,4,no,6971320.3021,29396797.0,180.0,70.0,29.0,-127422.5333,6971332.0548,2,-127420.59,36.0,
61738941,0,61738941,65,34,4,no,6971379.4143,29398693.0,348.0,83.0,30.0,-127405.1771,6971370.1363,2,-127410.85,19.0,
61738953,0,61738953,50,37,6,no,6971983.9649,29366086.0,77.0,46.0,12.0,-127848.4061,6971978.2999,5,-127846.04,65.0,
61738953,0,61738953,50,37,6,no,6971983.9649,29366086.0,77.0,46.0,12.0,-127848.4061,6971978.2999,5,-127846.04,65.0,
229073529,0,229073529,51,37,6,no,6971983.3469,29366086.0,77.0,46.0,12.0,-127848.4061,6971978.2999,2,-127852.07,66.0,
229073529,0,229073529,51,37,6,no,6971983.3469,29366086.0,77.0,46.0,12.0,-127848.4061,6971978.2999,2,-127852.07,66.0,
61738957,1,61738957,62,33,8,yes,6971984.0287,29349734.0,238.0,69.0,14.0,-128013.235,6971979.126,3,-128021.42,26.0,
61738958,0,61738958,40,32,6,no,6972129.876300001,29374681.0,102.0,60.0,14.0,-127724.8765,6972137.7212,2,-127723.61,39.0,victorian
61738959,0,61738959,45,31,6,no,6971955.2949,29379923.0,81.0,43.0,12.0,-127655.0343,6971950.9886,2,-127651.56,56.0,
61738959,0,61738959,45,31,6,no,6971955.2949,29379923.0,81.0,43.0,12.0,-127655.0343,6971950.9886,2,-127651.56,56.0,
229231607,0,229231607,49,32,6,no,6971947.7684,29379923.0,81.0,43.0,12.0,-127655.0343,6971950.9886,2,-127650.7,60.0,
229231607,0,229231607,49,32,6,no,6971947.7684,29379923.0,81.0,43.0,12.0,-127655.0343,6971950.9886,2,-127650.7,60.0,
61738961,0,61738961,50,32,8,no,6972087.7044,29373019.0,65.0,45.0,15.0,-127752.6491,6972089.2477,2,-127747.65,77.0,
61738962,0,61738962,49,36,6,no,6971575.5933,29370838.0,164.0,56.0,10.0,-127794.9319,6971576.0978,1,-127789.88,30.0,victorian
61738963,0,61738963,50,39,8,no,6971830.5054,29372518.0,117.0,59.0,14.0,-127769.2653,6971828.6647,2,-127767.68,43.0,
61738965,0,61738965,46,31,6,no,6971826.8288,29383793.0,75.0,42.0,14.0,-127598.4446,6971830.6539,2,-127603.64,61.0,
61738967,0,61738967,49,37,6,no,6971710.8407,29369936.0,105.0,50.0,11.0,-127806.3849,6971714.503,2,-127800.82,47.0,
61738968,0,61738968,48,28,5,no,6971962.7421,29336477.0,147.0,59.0,16.0,-128167.3501,6971961.5522,2,-128170.22,33.0,
61738971,0,61738971,49,36,6,no,6971992.2273,29368214.0,80.0,48.0,7.0,-127829.3257,6971992.1206,1,-127825.24,61.0,
61738973,0,61738973,49,36,6,no,6971657.9041,29370283.0,81.0,48.0,8.0,-127801.8427,6971655.0749,2,-127796.63,60.0,
61738975,0,61738975,49,37,6,no,6971793.235,29369456.0,79.0,48.0,9.0,-127812.6011,6971790.132,2,-127808.57,62.0,
61738976,0,61738976,49,36,6,no,6971740.146500001,54070535.0,85.0,48.0,7.0,-127808.4203,6971737.6439,2,-127803.47,58.0,
61738980,0,61738980,36,26,4,no,6971989.5106,29321876.0,135.0,63.0,21.0,-128403.9617,6971989.0576,2,-128395.26,27.0,
