osm_id,ncc_owned,osm_way_id,house_area,house_peri,house_vert,private,house_lati,NATIONALCA,land_area,land_perim,land_verti,land_longi,land_latit,COUNT,house_long,b2lpercent
"61738791","0","61738791","54","32","8",no,6971914.399899999611080,29298040.0000,139.0000,51.0000,31.0000,-128702.4289,6971920.9224,"2",-128702.0100,"39"
"61738792","1","61738792","71","36","7",yes,6971766.015599999576807,,67.0000,35.0000,7.0000,-128562.5257,6971769.3684,"4",-128563.6200,"106"
"61738793","1","61738793","45","31","8",yes,6971964.526100000366569,,91.0000,52.0000,15.0000,-128683.2598,6971963.3503,"2",-128684.2400,"49"
"61738795","1","61738795","84","41","12",yes,6971947.838999999687076,29295296.0000,200.0000,59.0000,16.0000,-128749.9118,6971951.1238,"2",-128753.8100,"42"
"61738796","1","61738796","73","37","8",yes,6971813.560100000351667,29281546.0000,165.0000,52.0000,15.0000,-128954.3529,6971820.3851,"4",-128963.5300,"44"
"61738797","0","61738797","66","34","8",no,6971935.215599999763072,29274745.0000,133.0000,48.0000,13.0000,-128987.7159,6971936.2195,"1",-128987.9500,"50"
"61738798","1","61738798","55","32","8",yes,6971847.265899999998510,29281124.0000,122.0000,52.0000,11.0000,-128964.5200,6971851.0069,"2",-128968.1200,"45"
"61738799","1","61738799","61","34","8",yes,6971837.855100000277162,,64.0000,34.0000,8.0000,-128743.0182,6971841.3837,"4",-128743.6500,"95"
"61738800","1","61738800","66","35","6",yes,6971880.685899999924004,,61.0000,35.0000,6.0000,-128989.5206,6971884.3860,"3",-128990.1300,"108"
"61738801","1","61738801","49","30","7",yes,6971830.156300000846386,29274675.0000,124.0000,46.0000,15.0000,-128992.1057,6971832.9974,"1",-128989.3200,"40"
"61738802","1","61738802","53","30","6",yes,6971659.018400000408292,29298353.0000,199.0000,67.0000,19.0000,-128710.9143,6971661.5734,"2",-128710.4600,"27"
"61738803","1","61738803","37","24","8",yes,6971596.694099999964237,,26.0000,24.0000,11.0000,-128478.9608,6971600.6754,"1",-128478.4600,"142"
"61738804","1","61738804","61","34","6",yes,6971688.947700000368059,,61.0000,33.0000,8.0000,-128657.5159,6971692.3491,"2",-128657.8000,"100"
"61738805","1","61738805","118","47","9",yes,6971710.374099999666214,,155.0000,56.0000,15.0000,-128611.1949,6971713.6428,"1",-128609.4000,"76"
"61738809","0","61738809","39","27","5",no,6971883.595099999569356,29311494.0000,93.0000,55.0000,15.0000,-128482.2377,6971879.1858,"2",-128478.5300,"42"
"61738810","0","61738810","53","30","8",no,6971834.027499999850988,29305629.0000,104.0000,46.0000,14.0000,-128575.6805,6971832.2187,"4",-128576.2000,"51"
"61738813","1","61738813","45","28","5",yes,6971885.626600000075996,,210.0000,63.0000,17.0000,-128550.7318,6971888.0693,"1",-128546.5600,"21"
"61738815","0","61738815","40","27","6",no,6971953.758799999952316,29312621.0000,103.0000,59.0000,22.0000,-128465.2572,6971951.7213,"2",-128461.9700,"39"
"61738818","1","61738818","64","34","7",yes,6971782.417000000365078,,62.0000,34.0000,8.0000,-128583.5248,6971785.6684,"4",-128583.7100,"103"
"61738819","1","61738819","66","35","9",yes,6971752.574400000274181,,62.0000,34.0000,11.0000,-128667.2285,6971756.3480,"4",-128668.1300,"106"
"61738820","0","61738820","50","30","8",no,6971851.317099999636412,59111346.0000,153.0000,58.0000,18.0000,-128484.0669,6971856.5379,"1",-128491.2800,"33"
"61738821","1","61738821","59","33","6",yes,6971845.169800000265241,,60.0000,33.0000,7.0000,-128668.4339,6971848.6882,"3",-128668.5600,"98"
"61738822","0","61738822","170","56","10",no,6971816.302599999122322,,,,,,,"0",-128482.6500,
"61738826","0","61738826","40","27","5",no,6971911.004800000227988,29315190.0000,102.0000,58.0000,16.0000,-128432.3588,6971910.0538,"2",-128440.7800,"39"
"61738827","0","61738827","46","28","4",no,6971793.522900000214577,59711096.0000,193.0000,63.0000,20.0000,-128653.2419,6971798.5803,"2",-128654.4300,"24"
"61738828","1","61738828","64","36","8",yes,6971811.642400000244379,,65.0000,36.0000,9.0000,-128711.3314,6971815.3487,"3",-128711.4200,"98"
"61738829","1","61738829","72","36","6",yes,6972392.552799999713898,,66.0000,35.0000,6.0000,-128726.4121,6972391.2438,"3",-128724.4400,"109"
"61738831","1","61738831","59","33","10",yes,6972238.763899999670684,29284074.0000,146.0000,55.0000,17.0000,-128905.1647,6972241.0856,"3",-128906.8500,"40"
"61738832","1","61738832","60","32","7",yes,6972238.336600000038743,,51.0000,30.0000,8.0000,-128513.8915,6972242.3118,"3",-128514.8900,"118"
"61738834","1","61738834","92","39","4",yes,6972237.742899999953806,,311.0000,78.0000,9.0000,-128623.8971,6972238.2236,"1",-128618.4400,"30"
"61738836","1","61738836","55","31","5",yes,6972184.854299999773502,29297525.0000,173.0000,56.0000,11.0000,-128706.4634,6972192.2548,"3",-128707.0600,"32"
"61738838","0","61738838","78","41","6",no,6972229.835799999535084,29306313.0000,152.0000,57.0000,15.0000,-128565.5462,6972234.1472,"2",-128566.3600,"51"
